Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 71.50     13.12    13.12                             mlx_int_parse_xpm
  4.96     14.03     0.91                             ft_bzero
  4.14     14.79     0.76 439365913     0.00     0.00  draw_pixel_color
  3.60     15.45     0.66 549969920     0.00     0.00  get_pixel
  2.56     15.92     0.47                             _init
  2.45     16.37     0.45 342697252     0.00     0.00  draw_pixel_asset
  2.23     16.78     0.41 140153600     0.00     0.00  draw_ray
  1.74     17.10     0.32   533464     0.00     0.00  draw_texture
  1.14     17.31     0.21 140153600     0.00     0.00  init_floor_draw
  1.09     17.51     0.20                             mlx_int_str_str_cote
  0.98     17.69     0.18      170     1.06     3.37  render_main_menu_background
  0.60     17.80     0.11   109495     0.00     0.01  render_floor_ray
  0.60     17.91     0.11      170     0.65     1.76  render_main_menu_blink
  0.49     18.00     0.09      305     0.30     0.95  draw_viewmodel
  0.49     18.09     0.09      114     0.79     3.11  render_main_menu_title
  0.27     18.14     0.05                             mlx_int_str_str
  0.22     18.18     0.04       56     0.71     1.83  render_main_menu_option
  0.22     18.22     0.04                             mlx_int_get_line
  0.16     18.25     0.03  9747875     0.00     0.00  update_draw_attributes
  0.11     18.27     0.02  1649440     0.00     0.00  update_ray_step_y
  0.11     18.29     0.02      305     0.07     0.12  draw_item
  0.05     18.30     0.01 25763077     0.00     0.00  get_alpha
  0.05     18.31     0.01   533464     0.00     0.00  init_draw_attributes
  0.05     18.32     0.01   109495     0.00     0.00  update_floor_ray
  0.05     18.33     0.01     1220     0.01     0.03  draw_item
  0.05     18.34     0.01      305     0.03     0.15  render_item
  0.05     18.35     0.01                             mlx_int_str_to_wordtab
  0.00     18.35     0.00  2334700     0.00     0.00  wall_hit
  0.00     18.35     0.00  1760699     0.00     0.00  wall_hit
  0.00     18.35     0.00  1665159     0.00     0.00  update_ray_step_x
  0.00     18.35     0.00   780800     0.00     0.00  update_raycast
  0.00     18.35     0.00   780800     0.00     0.00  update_raycast_delta
  0.00     18.35     0.00   780800     0.00     0.00  update_raycast_side
  0.00     18.35     0.00   533464     0.00     0.00  init_draw_start_point
  0.00     18.35     0.00   533464     0.00     0.00  render_raycast
  0.00     18.35     0.00   533464     0.00     0.00  select_texture
  0.00     18.35     0.00   533464     0.00     0.00  select_texture_normal
  0.00     18.35     0.00   390400     0.00     0.00  is_a_door
  0.00     18.35     0.00   143064     0.00     0.00  is_closed
  0.00     18.35     0.00   143064     0.00     0.00  is_smaller_perp
  0.00     18.35     0.00   128710     0.00     0.00  draw_element
  0.00     18.35     0.00   128710     0.00     0.00  is_floor
  0.00     18.35     0.00   122000     0.00     0.00  draw_square
  0.00     18.35     0.00    91341     0.00     0.00  item_on_screen
  0.00     18.35     0.00    50293     0.00     0.00  get_time
  0.00     18.35     0.00    41767     0.00     0.00  get_tex_x
  0.00     18.35     0.00    25198     0.00     0.00  mouse_motion_hook
  0.00     18.35     0.00    25015     0.00     0.00  game_mouse_motion_hook
  0.00     18.35     0.00     1220     0.00     0.03  init_enemy
  0.00     18.35     0.00     1220     0.00     0.00  init_enemy_attributes
  0.00     18.35     0.00     1220     0.00     0.00  init_item_draw_attributes
  0.00     18.35     0.00     1220     0.00     0.00  render_minimap_enemy
  0.00     18.35     0.00      950     0.00     0.00  get_tick
  0.00     18.35     0.00      486     0.00     0.00  is_valid_map_element
  0.00     18.35     0.00      475     0.00     7.47  cub3d_loop
  0.00     18.35     0.00      475     0.00     0.00  frame_delay
  0.00     18.35     0.00      475     0.00     0.00  update_frame_rate
  0.00     18.35     0.00      422     0.00     0.00  is_player_spawn
